2025-10-23 00:11:36,628 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 00:18:14,400 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 00:25:25,316 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 11:21:34,009 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 11:22:38,360 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 12:20:36,413 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 12:23:39,568 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,569 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,670 - firewall - INFO - Packet allowed: 127.0.0.1 -> 127.0.0.1 (Protocol-(6, 20)) | src=127.0.0.1 | dst=127.0.0.1 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,670 - firewall - INFO - Packet allowed: 127.0.0.1 -> 127.0.0.1 (Protocol-(6, 20)) | src=127.0.0.1 | dst=127.0.0.1 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,670 - firewall - INFO - Packet allowed: 127.0.0.1 -> 127.0.0.1 (Protocol-(6, 20)) | src=127.0.0.1 | dst=127.0.0.1 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,670 - firewall - INFO - Packet allowed: 127.0.0.1 -> 127.0.0.1 (Protocol-(6, 20)) | src=127.0.0.1 | dst=127.0.0.1 | proto=Protocol-(6, 20)
2025-10-23 12:29:09,565 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 12:29:09,565 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:29:09,667 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:29:10,472 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:29:10,472 - firewall - INFO - Packet allowed: 192.168.0.239 -> 192.168.0.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=192.168.0.255 | proto=Protocol-(17, 20)
2025-10-23 12:29:10,573 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
